class,sex,age,survived
1st,male,37,FALSE
1st,female,31,TRUE
1st,female,23,TRUE
1st,male,58,FALSE
1st,female,19,TRUE
1st,male,64,FALSE
1st,female,39,TRUE
1st,male,NA,TRUE
1st,female,22,TRUE
1st,male,65,FALSE
1st,male,28.5,FALSE
1st,male,NA,FALSE
1st,male,45.5,FALSE
1st,male,23,FALSE
1st,male,29,FALSE
1st,female,22,TRUE
1st,male,18,FALSE
1st,female,17,TRUE
1st,female,30,TRUE
1st,male,52,TRUE
1st,male,47,FALSE
1st,female,56,TRUE
1st,male,38,FALSE
1st,male,NA,TRUE
1st,male,22,FALSE
1st,male,NA,FALSE
1st,female,43,TRUE
1st,male,31,FALSE
1st,male,45,TRUE
1st,male,NA,FALSE
1st,female,33,TRUE
1st,male,46,FALSE
1st,male,36,FALSE
1st,female,33,TRUE
1st,male,55,FALSE
1st,female,54,TRUE
1st,male,33,FALSE
1st,male,13,TRUE
1st,female,18,TRUE
1st,female,21,TRUE
1st,male,61,FALSE
1st,female,48,TRUE
1st,male,NA,TRUE
1st,female,24,TRUE
1st,male,NA,TRUE
1st,female,35,TRUE
1st,female,30,TRUE
1st,male,34,TRUE
1st,female,40,TRUE
1st,male,35,TRUE
1st,male,50,FALSE
1st,female,39,TRUE
1st,male,56,TRUE
1st,male,28,TRUE
1st,male,56,FALSE
1st,male,56,FALSE
1st,male,24,FALSE
1st,male,NA,FALSE
1st,female,18,TRUE
1st,male,24,TRUE
1st,female,23,TRUE
1st,male,6,TRUE
1st,male,45,TRUE
1st,female,40,TRUE
1st,male,57,FALSE
1st,female,NA,TRUE
1st,male,32,TRUE
1st,male,62,FALSE
1st,male,54,TRUE
1st,female,43,TRUE
1st,female,52,TRUE
1st,male,NA,FALSE
1st,female,62,TRUE
1st,male,67,FALSE
1st,female,63,FALSE
1st,male,61,FALSE
1st,female,48,TRUE
1st,female,18,TRUE
1st,male,52,FALSE
1st,female,39,TRUE
1st,male,48,TRUE
1st,female,NA,TRUE
1st,male,49,FALSE
1st,male,17,TRUE
1st,female,39,TRUE
1st,female,NA,TRUE
1st,male,31,TRUE
1st,male,40,FALSE
1st,male,61,FALSE
1st,male,47,FALSE
1st,female,35,TRUE
1st,male,64,FALSE
1st,female,60,TRUE
1st,male,60,FALSE
1st,male,54,FALSE
1st,male,21,FALSE
1st,female,55,TRUE
1st,female,31,TRUE
1st,male,57,FALSE
1st,female,45,TRUE
1st,male,50,FALSE
1st,male,27,FALSE
1st,female,50,TRUE
1st,female,21,TRUE
1st,male,51,FALSE
1st,male,21,TRUE
1st,male,NA,FALSE
1st,female,31,TRUE
1st,male,NA,TRUE
1st,male,62,FALSE
1st,female,36,TRUE
2nd,male,30,FALSE
2nd,female,28,TRUE
2nd,male,30,FALSE
2nd,male,18,FALSE
2nd,male,25,FALSE
2nd,male,34,FALSE
2nd,female,36,TRUE
2nd,male,57,FALSE
2nd,male,18,FALSE
2nd,male,23,FALSE
2nd,female,36,TRUE
2nd,male,28,FALSE
2nd,male,51,FALSE
2nd,male,32,TRUE
2nd,female,19,TRUE
2nd,male,28,FALSE
2nd,male,1,TRUE
2nd,female,4,TRUE
2nd,female,12,TRUE
2nd,female,36,TRUE
2nd,male,34,TRUE
2nd,female,19,TRUE
2nd,male,23,FALSE
2nd,male,26,FALSE
2nd,male,42,FALSE
2nd,male,27,FALSE
2nd,female,24,TRUE
2nd,female,15,TRUE
2nd,male,60,FALSE
2nd,female,40,TRUE
2nd,female,20,TRUE
2nd,male,25,FALSE
2nd,female,36,TRUE
2nd,male,25,FALSE
2nd,male,42,FALSE
2nd,female,42,TRUE
2nd,male,0.833299994,TRUE
2nd,male,26,TRUE
2nd,female,22,TRUE
2nd,female,35,TRUE
2nd,male,NA,FALSE
2nd,male,19,FALSE
2nd,female,44,FALSE
2nd,male,54,FALSE
2nd,male,52,FALSE
2nd,male,37,FALSE
2nd,female,29,FALSE
2nd,female,25,TRUE
2nd,female,45,TRUE
2nd,male,29,FALSE
2nd,female,28,TRUE
2nd,male,29,FALSE
2nd,male,28,FALSE
2nd,male,24,TRUE
2nd,female,8,TRUE
2nd,male,31,FALSE
2nd,female,31,TRUE
2nd,female,22,TRUE
2nd,female,30,FALSE
2nd,female,NA,FALSE
2nd,male,21,FALSE
2nd,male,NA,FALSE
2nd,male,8,TRUE
2nd,male,18,FALSE
2nd,female,48,TRUE
2nd,female,28,TRUE
2nd,male,32,FALSE
2nd,male,17,FALSE
2nd,male,29,FALSE
2nd,female,24,TRUE
2nd,male,25,FALSE
2nd,male,18,FALSE
2nd,female,18,TRUE
2nd,female,34,TRUE
2nd,male,54,FALSE
2nd,male,8,TRUE
2nd,male,42,FALSE
2nd,female,34,TRUE
2nd,female,27,TRUE
2nd,female,30,TRUE
2nd,male,23,FALSE
2nd,male,21,FALSE
2nd,male,18,FALSE
2nd,male,40,FALSE
2nd,female,29,TRUE
2nd,male,18,FALSE
2nd,male,36,FALSE
2nd,male,NA,FALSE
2nd,female,38,FALSE
2nd,male,35,FALSE
2nd,male,38,FALSE
2nd,male,34,FALSE
2nd,female,34,TRUE
2nd,male,16,FALSE
2nd,male,26,FALSE
2nd,male,47,FALSE
2nd,male,21,FALSE
2nd,male,21,FALSE
2nd,male,24,FALSE
2nd,male,24,FALSE
2nd,male,34,FALSE
2nd,male,30,FALSE
2nd,male,52,FALSE
2nd,male,30,FALSE
2nd,male,0.666700006,TRUE
2nd,female,24,TRUE
2nd,male,44,FALSE
2nd,female,6,TRUE
2nd,male,28,FALSE
2nd,male,62,TRUE
2nd,male,30,FALSE
2nd,female,7,TRUE
2nd,male,43,FALSE
2nd,female,45,TRUE
2nd,female,24,TRUE
2nd,female,24,TRUE
2nd,male,49,FALSE
2nd,female,48,TRUE
2nd,female,55,TRUE
2nd,male,24,FALSE
2nd,male,32,FALSE
2nd,male,21,FALSE
2nd,female,18,FALSE
2nd,female,20,TRUE
2nd,male,23,FALSE
2nd,male,36,FALSE
2nd,female,54,TRUE
2nd,male,50,FALSE
2nd,male,44,FALSE
2nd,female,29,TRUE
2nd,male,21,FALSE
2nd,male,42,TRUE
2nd,male,63,FALSE
2nd,female,60,FALSE
2nd,male,33,FALSE
2nd,female,17,TRUE
2nd,male,42,FALSE
2nd,female,24,TRUE
2nd,male,47,FALSE
2nd,male,24,FALSE
2nd,male,22,FALSE
2nd,male,32,FALSE
2nd,female,23,TRUE
2nd,male,34,FALSE
2nd,female,24,TRUE
2nd,female,22,FALSE
2nd,female,NA,TRUE
2nd,male,35,FALSE
2nd,female,45,TRUE
2nd,male,57,FALSE
2nd,male,NA,FALSE
2nd,male,31,FALSE
2nd,female,26,FALSE
2nd,male,30,FALSE
2nd,male,NA,FALSE
2nd,female,1,TRUE
2nd,female,3,TRUE
2nd,male,25,FALSE
2nd,female,22,TRUE
2nd,female,17,TRUE
2nd,female,NA,TRUE
2nd,female,34,TRUE
2nd,male,36,FALSE
2nd,male,24,FALSE
2nd,male,61,FALSE
2nd,male,50,FALSE
2nd,female,42,TRUE
2nd,female,57,FALSE
2nd,male,NA,FALSE
2nd,male,1,TRUE
2nd,male,31,FALSE
2nd,female,24,TRUE
2nd,male,NA,FALSE
2nd,male,30,FALSE
2nd,male,40,FALSE
2nd,male,32,FALSE
2nd,male,30,FALSE
2nd,male,46,FALSE
2nd,female,13,TRUE
2nd,female,41,TRUE
2nd,male,19,TRUE
2nd,male,39,FALSE
2nd,male,48,FALSE
2nd,male,70,FALSE
2nd,male,27,FALSE
2nd,male,54,FALSE
2nd,male,39,FALSE
2nd,male,16,FALSE
2nd,male,62,FALSE
2nd,male,32.5,FALSE
2nd,female,14,TRUE
2nd,male,2,TRUE
2nd,male,3,TRUE
2nd,male,36.5,FALSE
2nd,male,26,FALSE
2nd,male,19,FALSE
2nd,male,28,FALSE
2nd,male,20,TRUE
2nd,female,29,TRUE
2nd,male,39,FALSE
2nd,male,22,TRUE
2nd,male,NA,TRUE
2nd,male,23,FALSE
2nd,male,29,TRUE
2nd,male,28,FALSE
2nd,male,NA,FALSE
2nd,female,50,TRUE
2nd,male,19,FALSE
2nd,male,NA,FALSE
2nd,male,41,FALSE
2nd,female,21,TRUE
2nd,female,19,TRUE
2nd,male,43,FALSE
2nd,female,32,TRUE
2nd,male,34,FALSE
2nd,male,30,TRUE
2nd,male,27,FALSE
2nd,female,2,TRUE
2nd,female,8,TRUE
2nd,female,33,TRUE
2nd,male,36,FALSE
2nd,male,34,FALSE
2nd,female,30,TRUE
2nd,female,28,TRUE
2nd,male,23,FALSE
2nd,male,0.833299994,TRUE
2nd,male,3,TRUE
2nd,female,24,TRUE
2nd,female,50,TRUE
2nd,male,19,FALSE
2nd,female,21,TRUE
2nd,male,26,FALSE
2nd,male,25,FALSE
2nd,male,27,FALSE
2nd,female,25,TRUE
2nd,female,18,TRUE
2nd,female,20,TRUE
2nd,female,30,TRUE
2nd,male,59,FALSE
2nd,female,30,TRUE
2nd,male,35,FALSE
2nd,female,40,TRUE
2nd,male,25,FALSE
2nd,male,41,FALSE
2nd,male,25,FALSE
2nd,male,18.5,FALSE
2nd,male,14,FALSE
2nd,female,50,TRUE
2nd,male,23,FALSE
2nd,female,28,TRUE
2nd,female,27,TRUE
2nd,male,29,FALSE
2nd,female,27,FALSE
2nd,male,40,FALSE
2nd,female,31,TRUE
2nd,male,30,FALSE
2nd,male,23,FALSE
2nd,female,31,TRUE
2nd,male,NA,FALSE
2nd,female,12,TRUE
2nd,female,40,TRUE
2nd,female,32.5,TRUE
2nd,male,27,FALSE
2nd,female,29,TRUE
2nd,male,2,TRUE
2nd,female,4,TRUE
2nd,female,29,TRUE
2nd,female,0.916700006,TRUE
2nd,female,5,TRUE
2nd,male,36,FALSE
2nd,female,33,TRUE
2nd,male,66,FALSE
2nd,male,NA,FALSE
2nd,male,31,TRUE
2nd,male,NA,TRUE
2nd,female,26,TRUE
2nd,female,24,FALSE
3rd,male,42,FALSE
3rd,male,13,FALSE
3rd,male,16,FALSE
3rd,female,35,TRUE
3rd,female,16,TRUE
3rd,male,25,TRUE
3rd,male,20,TRUE
3rd,female,18,TRUE
3rd,male,30,FALSE
3rd,male,26,FALSE
3rd,female,40,FALSE
3rd,male,0.833299994,TRUE
3rd,female,18,TRUE
3rd,male,26,TRUE
3rd,male,26,FALSE
3rd,male,20,FALSE
3rd,male,24,FALSE
3rd,male,25,FALSE
3rd,male,35,FALSE
3rd,male,18,FALSE
3rd,male,32,FALSE
3rd,female,19,TRUE
3rd,male,4,FALSE
3rd,female,6,FALSE
3rd,female,2,FALSE
3rd,female,17,TRUE
3rd,female,38,FALSE
3rd,female,9,FALSE
3rd,female,11,FALSE
3rd,male,39,FALSE
3rd,male,27,TRUE
3rd,male,26,FALSE
3rd,female,39,FALSE
3rd,male,20,FALSE
3rd,male,26,FALSE
3rd,male,25,FALSE
3rd,female,18,FALSE
3rd,male,24,FALSE
3rd,male,35,FALSE
3rd,male,5,FALSE
3rd,male,9,FALSE
3rd,male,3,TRUE
3rd,male,13,FALSE
3rd,female,5,TRUE
3rd,male,40,FALSE
3rd,male,23,TRUE
3rd,female,38,TRUE
3rd,female,45,TRUE
3rd,male,21,FALSE
3rd,male,23,FALSE
3rd,female,17,FALSE
3rd,male,30,FALSE
3rd,male,23,FALSE
3rd,female,13,TRUE
3rd,male,20,FALSE
3rd,male,32,FALSE
3rd,female,33,TRUE
3rd,female,0.75,TRUE
3rd,female,0.75,TRUE
3rd,female,5,TRUE
3rd,female,24,TRUE
3rd,female,18,TRUE
3rd,male,40,FALSE
3rd,male,26,FALSE
3rd,male,20,TRUE
3rd,female,18,FALSE
3rd,female,45,FALSE
3rd,female,27,FALSE
3rd,male,22,FALSE
3rd,male,19,FALSE
3rd,male,26,FALSE
3rd,male,22,FALSE
3rd,male,NA,FALSE
3rd,male,20,FALSE
3rd,male,32,TRUE
3rd,male,21,FALSE
3rd,male,18,FALSE
3rd,male,26,FALSE
3rd,male,6,FALSE
3rd,female,9,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,male,40,FALSE
3rd,female,32,FALSE
3rd,male,21,FALSE
3rd,female,22,TRUE
3rd,female,20,FALSE
3rd,male,29,FALSE
3rd,male,22,FALSE
3rd,male,22,FALSE
3rd,male,35,FALSE
3rd,female,18.5,FALSE
3rd,male,21,TRUE
3rd,male,19,FALSE
3rd,female,18,FALSE
3rd,female,21,FALSE
3rd,female,30,FALSE
3rd,male,18,FALSE
3rd,male,38,FALSE
3rd,male,17,FALSE
3rd,male,17,FALSE
3rd,female,21,FALSE
3rd,male,21,FALSE
3rd,male,21,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,28,FALSE
3rd,male,24,FALSE
3rd,female,16,TRUE
3rd,female,37,FALSE
3rd,male,28,FALSE
3rd,male,24,FALSE
3rd,male,21,FALSE
3rd,male,32,TRUE
3rd,male,29,FALSE
3rd,male,26,FALSE
3rd,male,18,FALSE
3rd,male,20,FALSE
3rd,male,18,TRUE
3rd,male,24,FALSE
3rd,male,36,FALSE
3rd,male,24,FALSE
3rd,male,31,FALSE
3rd,male,31,FALSE
3rd,female,22,TRUE
3rd,female,30,FALSE
3rd,male,70.5,FALSE
3rd,male,43,FALSE
3rd,male,35,FALSE
3rd,male,27,FALSE
3rd,male,19,FALSE
3rd,male,30,FALSE
3rd,male,9,TRUE
3rd,male,3,TRUE
3rd,female,36,TRUE
3rd,male,59,FALSE
3rd,male,19,FALSE
3rd,female,17,TRUE
3rd,male,44,FALSE
3rd,male,17,FALSE
3rd,male,22.5,FALSE
3rd,male,45,TRUE
3rd,female,22,FALSE
3rd,male,19,FALSE
3rd,female,30,TRUE
3rd,male,29,TRUE
3rd,male,0.333299994,FALSE
3rd,male,34,FALSE
3rd,female,28,FALSE
3rd,male,27,FALSE
3rd,male,25,FALSE
3rd,male,24,FALSE
3rd,male,22,FALSE
3rd,male,21,FALSE
3rd,male,17,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,36.5,TRUE
3rd,female,36,TRUE
3rd,male,30,TRUE
3rd,male,16,FALSE
3rd,male,1,TRUE
3rd,female,0.166700006,TRUE
3rd,male,26,FALSE
3rd,female,33,TRUE
3rd,male,25,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,22,FALSE
3rd,male,36,FALSE
3rd,female,19,TRUE
3rd,male,17,FALSE
3rd,male,42,FALSE
3rd,male,43,FALSE
3rd,male,NA,FALSE
3rd,male,32,FALSE
3rd,male,19,TRUE
3rd,female,30,TRUE
3rd,female,24,FALSE
3rd,female,23,TRUE
3rd,male,33,FALSE
3rd,male,65,FALSE
3rd,male,24,TRUE
3rd,male,23,FALSE
3rd,female,22,TRUE
3rd,male,18,FALSE
3rd,male,16,FALSE
3rd,male,45,FALSE
3rd,male,NA,FALSE
3rd,male,39,FALSE
3rd,male,17,FALSE
3rd,male,15,FALSE
3rd,male,47,FALSE
3rd,female,5,TRUE
3rd,male,NA,FALSE
3rd,male,40.5,FALSE
3rd,male,40.5,FALSE
3rd,male,NA,TRUE
3rd,male,18,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,26,FALSE
3rd,male,NA,FALSE
3rd,male,NA,TRUE
3rd,female,21,FALSE
3rd,female,9,FALSE
3rd,male,NA,FALSE
3rd,male,18,FALSE
3rd,male,16,FALSE
3rd,female,48,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,25,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,22,FALSE
3rd,female,16,TRUE
3rd,female,NA,TRUE
3rd,male,9,TRUE
3rd,male,33,FALSE
3rd,male,41,FALSE
3rd,female,31,TRUE
3rd,male,38,FALSE
3rd,male,9,FALSE
3rd,male,1,FALSE
3rd,male,11,FALSE
3rd,female,10,FALSE
3rd,female,16,FALSE
3rd,male,14,FALSE
3rd,male,40,FALSE
3rd,female,43,FALSE
3rd,male,51,FALSE
3rd,male,32,FALSE
3rd,male,NA,FALSE
3rd,male,20,FALSE
3rd,male,37,FALSE
3rd,male,28,FALSE
3rd,male,19,FALSE
3rd,female,24,FALSE
3rd,female,17,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,28,FALSE
3rd,female,24,TRUE
3rd,male,20,FALSE
3rd,male,23.5,FALSE
3rd,male,41,FALSE
3rd,male,26,FALSE
3rd,male,21,FALSE
3rd,female,45,TRUE
3rd,female,NA,FALSE
3rd,male,25,FALSE
3rd,male,NA,FALSE
3rd,male,11,FALSE
3rd,female,NA,TRUE
3rd,male,27,TRUE
3rd,male,NA,TRUE
3rd,female,18,FALSE
3rd,female,26,TRUE
3rd,female,23,FALSE
3rd,female,22,TRUE
3rd,male,28,FALSE
3rd,female,28,FALSE
3rd,female,NA,FALSE
3rd,female,2,TRUE
3rd,female,22,TRUE
3rd,male,43,FALSE
3rd,male,28,FALSE
3rd,female,27,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,42,FALSE
3rd,male,NA,TRUE
3rd,male,30,FALSE
3rd,male,NA,FALSE
3rd,female,27,FALSE
3rd,female,25,FALSE
3rd,male,NA,FALSE
3rd,male,29,TRUE
3rd,male,21,TRUE
3rd,male,NA,FALSE
3rd,male,20,FALSE
3rd,male,48,FALSE
3rd,male,17,FALSE
3rd,female,NA,TRUE
3rd,male,NA,TRUE
3rd,male,34,FALSE
3rd,male,26,TRUE
3rd,male,22,FALSE
3rd,male,33,FALSE
3rd,male,31,FALSE
3rd,male,29,FALSE
3rd,male,4,TRUE
3rd,female,1,TRUE
3rd,male,49,FALSE
3rd,male,33,FALSE
3rd,male,19,FALSE
3rd,female,27,TRUE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,23,FALSE
3rd,male,32,TRUE
3rd,male,27,FALSE
3rd,female,20,FALSE
3rd,female,21,FALSE
3rd,male,32,TRUE
3rd,male,17,FALSE
3rd,male,21,FALSE
3rd,male,30,FALSE
3rd,male,21,TRUE
3rd,male,33,FALSE
3rd,male,22,FALSE
3rd,female,4,TRUE
3rd,male,39,TRUE
3rd,male,NA,FALSE
3rd,male,18.5,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,male,34.5,FALSE
3rd,male,44,FALSE
3rd,male,NA,TRUE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,22,FALSE
3rd,male,26,FALSE
3rd,female,4,TRUE
3rd,male,29,TRUE
3rd,female,26,TRUE
3rd,female,1,FALSE
3rd,male,18,FALSE
3rd,female,36,FALSE
3rd,male,NA,FALSE
3rd,male,25,TRUE
3rd,male,NA,FALSE
3rd,female,37,FALSE
3rd,male,NA,FALSE
3rd,male,NA,TRUE
3rd,male,NA,FALSE
3rd,female,22,TRUE
3rd,male,NA,FALSE
3rd,male,26,TRUE
3rd,male,29,FALSE
3rd,male,29,FALSE
3rd,male,22,FALSE
3rd,male,22,TRUE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,male,32,FALSE
3rd,male,34.5,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,36,FALSE
3rd,male,39,FALSE
3rd,male,24,FALSE
3rd,female,25,FALSE
3rd,female,45,FALSE
3rd,male,36,FALSE
3rd,female,30,FALSE
3rd,male,20,TRUE
3rd,male,NA,FALSE
3rd,male,28,FALSE
3rd,male,NA,FALSE
3rd,male,30,FALSE
3rd,female,26,FALSE
3rd,male,NA,FALSE
3rd,male,20.5,FALSE
3rd,male,27,TRUE
3rd,male,51,FALSE
3rd,female,23,TRUE
3rd,male,32,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,24,TRUE
3rd,male,22,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,29,FALSE
3rd,male,NA,TRUE
3rd,female,30.5,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,male,35,FALSE
3rd,male,33,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,NA,TRUE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,male,NA,TRUE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,female,15,TRUE
3rd,female,35,FALSE
3rd,male,NA,FALSE
3rd,male,24,FALSE
3rd,female,19,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,male,55.5,FALSE
3rd,male,NA,FALSE
3rd,male,21,TRUE
3rd,male,NA,FALSE
3rd,male,24,FALSE
3rd,male,21,FALSE
3rd,male,28,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,25,FALSE
3rd,male,6,TRUE
3rd,female,27,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,34,FALSE
3rd,male,NA,FALSE
3rd,male,NA,TRUE
3rd,male,NA,TRUE
3rd,male,NA,TRUE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,female,24,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,male,18,FALSE
3rd,male,22,FALSE
3rd,female,15,TRUE
3rd,female,1,TRUE
3rd,male,20,TRUE
3rd,female,19,TRUE
3rd,male,33,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,12,TRUE
3rd,female,14,TRUE
3rd,female,29,FALSE
3rd,male,28,FALSE
3rd,female,18,TRUE
3rd,female,26,TRUE
3rd,male,21,FALSE
3rd,male,41,FALSE
3rd,male,39,TRUE
3rd,male,21,FALSE
3rd,male,28.5,FALSE
3rd,female,22,TRUE
3rd,male,61,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,23,FALSE
3rd,female,NA,FALSE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,female,22,TRUE
